compound,formula,mz,rt,charge
TG_Na(52:3),C55H99O6Na,879.7412143,18.15,1
TG_NH4(52:3),C55H99O6NH4,874.785819,18.15,1
TG_Na(70:18),C73H105O6Na,1101.788164,18.17,1
TG_NH4(70:18),C73H105O6NH4,1096.832769,18.17,1
TG_Na(56:6),C59H101O6Na,929.7568643,18.19,1
TG_NH4(56:6),C59H101O6NH4,924.801469,18.19,1
DG_Na(46:1),C49H93O5Na,785.6993493,18.2,1
TG_Na(60:9),C63H103O6Na,979.7725143,18.2,1
TG_Na(68:17),C71H103O6Na,1075.772514,18.2,1
DG_NH4(46:1),C49H93O5NH4,780.743954,18.2,1
TG_NH4(60:9),C63H103O6NH4,974.817119,18.2,1
TG_NH4(68:17),C71H103O6NH4,1070.817119,18.2,1
TG_Na(58:7),C61H103O6Na,955.7725143,18.21,1
TG_Na(62:10),C65H105O6Na,1005.788164,18.21,1
TG_NH4(58:7),C61H103O6NH4,950.817119,18.21,1
TG_NH4(62:10),C65H105O6NH4,1000.832769,18.21,1
CE_Na(20:5),C47H73O2Na,693.5581043,18.23,1
CE_NH4(20:5),C47H73O2NH4,688.602709,18.23,1
TG_Na(68:16),C71H105O6Na,1077.788164,18.25,1
